Id;Event;Date;Group;GroupId
1;"Journal des S&ccedil;avans 1st issue";1665;Primordial pre publication;1
2;Philosophical Transactions 1st issue;1665;Primordial pre publication;1
3;Royal Society of Edinburgh introduces society members' peer review;1731;Primordial pre publication;1
4;Nature introduces peer review;1967;Pre publication;2
5;arXiv launches;1991;Open peer review facilitator;3
6;BioMed Central publishes reviewer names;2000;Pre publication open;4
7;Atmospheric Chemistry and Physics introduces public peer review;2001;Pre and post publication open;5
8;Wikipedia launches;2001;Open peer review facilitator;3
9;PLOS ONE launches with objective peer review;2006;Pre publication;2
10;Nature public peer review trial;2006;Pre publication open;4
11;PLOS introduces public comments to articles;2009;Post publication open;6
12;eLife launches with collaborative peer review;2011;Pre publication open;4
13;Hypothes.is launches;2011;Decoupled post publication open;7
14;F1000Research launches;2012;Post publication open;6
15;Peerage of Science launches;2012;Decoupled pre publication;9
16;PeerJ launches;2012;Pre and post publication optionally open;10
17;Publons launches;2012;Service recognition;8
18;PubPeer launches;2012;Decoupled post publication open;7
19;RUBRIQ launches;2012;Decoupled pre publication;9
20;Axios Review launches;2013;Decoupled pre publication;9
21;Pubmed Commons launches;2013;Post publication open;6
22;ScienceOpen launches;2013;Post publication open;6
23;PaperHive launches;2014;Decoupled post publication open;7
24;The Winnower launches;2014;Optional post publication open;11
25;PubPub launches;2015;Optional post publication open;11
26;RIO launches;2015;Optional pre and post publication open;12
27;ScienceOpen introduces peer review by endorsement;2015;Optional pre publication open;13
28;Peer Reviewers' Openness Initiative launches;2016;Policy;14
